overall_rating,rating_norm,rating_label,likes,like_sent_label,like_sent_score,dislikes,dislike_sent_label,dislike_sent_score,text_combined,text_sent_label,text_sent_score,consistency_label,rag_explanation,title,department,date
2.0,2.0,-1,"Salary on time
System and basic process",POSITIVE,1.0,"Company culture 
No Work life balance
Work overload
Abnormal pressure 
No/less response from HO
HO Branch politics",NEGATIVE,-1.0,salary on time system and basic process company culture no work life balance work overload abnormal pressure no/less response from ho ho branch politics,NEGATIVE,-0.25,GENUINE,[TARGET] salary on time system and basic process company culture no work life balance work overload abnormal pressure no/less response from ho ho branch politics . system and process is good work life balance and culture of specific branch level .,Spare Parts Warehouse Incharge,Stores & Material Management Department,4 Sep 2023
5.0,5.0,1,"LG Electronics India Pvt Ltd is one of the great company which I have ever seen,
Working environment is very good,
Job Security",POSITIVE,1.0,No dislikes,POSITIVE,1.0,"lg electronics india pvt ltd is one of the great company which i have ever seen, working environment is very good, job security no dislikes",POSITIVE,1.0,GENUINE,"lg electronics india pvt ltd is one of the great company which i have ever seen, working environment is very good, job security no dislikes [SIMILAR 1219 | score=0.853] lg electronics is one of the best company in my career with good company culture and good discipline company .",Senior Engineer,Stores & Material Management Department,1 Sep 2023
5.0,5.0,1,product ARE GOOD AND SERVICES PROVIDED BY BRAND,POSITIVE,1.0,NO ONE LISTEN YOU PROBLEM JUST IGNORED AND IF YOU TAKE LEAVE SENIORS ARE SO RUDELY APPROVED AND EVERY MONTH LAST WEEK OFF WOULD BE CANCEL,NEGATIVE,-1.0,product are good and services provided by brand no one listen you problem just ignored and if you take leave seniors are so rudely approved and every month last week off would be cancel,NEGATIVE,-0.25,INCONSISTENT,"[TARGET] product are good and services provided by brand no one listen you problem just ignored and every month last week off would be cancel [SIMILAR 383 | score=0.678] best product, best service and best senior everything is good not a dislike [SIMILAR 874 | score=0.629] good brand seniors behavior is not good [SIMILAR 874 | score=0.629] good brand seniors behavior is not good .",In LG INDIA ELECTRONICS PVT LTD,Business Department,1 Sep 2023
5.0,5.0,1,"Salary on time , increment depends on manager views",NEGATIVE,-1.0,"Top level management poor
Middle level management also poor.
Unethical culture and behavior.",NEGATIVE,-1.0,"salary on time , increment depends on manager views top level management poor middle level management also poor. unethical culture and behavior.",NEGATIVE,-0.25,INCONSISTENT,increment depends on manager views top level management poor middle level management also poor. unethical culture and behavior. [SIMILAR 430 | score=0.678] salary on time good. asm behaviour is not good and asm power misused your company.,Sales Executive,Retail & B2C Sales Department,9 Sep 2023
4.0,4.0,1,Good salary and bonus benefits,POSITIVE,1.0,"Due to global company, reporting factor is much higher than others.
Work should be done immediately whether it is working off time or holiday.",POSITIVE,1.0,"good salary and bonus benefits due to global company, reporting factor is much higher than others. work should be done immediately whether it is working off time or holiday.",POSITIVE,0.25,GENUINE,"good salary and bonus benefits due to global company, reporting factor is much higher than others . compensation and internal employee schemes are good . no personal life, work culture is poor work environment is full of negativity .",Manager,Procurement & Purchase Department,9 Aug 2023
3.0,3.0,0,Their is a good incentive structure you can earn money if you have selling skills.,POSITIVE,1.0,Lot's of pressure and  be careful about your future,NEGATIVE,-1.0,their is a good incentive structure you can earn money if you have selling skills. lot's of pressure and be careful about your future,POSITIVE,0.5,AMBIGUOUS,incentive structure is very good in this company there have not permoted to employe chances very low [SIMILAR 458 | score=0.553] good company to start with . will give huge amount apart from salary but also provide work like 9 to 12 almost 14 hours and no week off and holidays .,Sales Executive,Sales Support & Operations Department,6 Aug 2023
5.0,5.0,1,Just too get the good company knowledge to learn the new things,NEGATIVE,-1.0,Salary issue no facility not getting the week off too much work load not having a proper environment to work,NEGATIVE,-1.0,just too get the good company knowledge to learn the new things salary issue no facility not getting the week off too much work load not having a proper environment to work,NEGATIVE,-0.75,INCONSISTENT,"salaries are good but work is hectic . there is no innovation every one works here to save there own job . no technical knowledge required only managerial skills can do here . company culture is terrible,skill development is zero .",Backend Team Leader,Back Office Department,3 Aug 2023
2.0,2.0,-1,Good pay master.,POSITIVE,1.0,No work life balance. People need to work on holidays. HR is worst. Huge work pressure. I had found people died due to misbehave from sales head. Even I saw a sales head suddenly became area manager.,NEGATIVE,-1.0,good pay master. no work life balance. people need to work on holidays. hr is worst. huge work pressure. i had found people died due to misbehave from sales head. even i saw a sales head suddenly became area manager.,NEUTRAL,0.0,AMBIGUOUS,"there is no work-life balance. office starts from 8:30am and no ending time . 6 days working and at least 3 sunday s in a month one has to be in office . lg being the sales driven company, marketing is the thankless job .",Sales Manager,Retail & B2C Sales Department,3 Aug 2023
3.0,3.0,0,Good company if you just want to work like in a government company. Stable job,POSITIVE,1.0,"No merit based promotions
Koreans use abusive language
Poor appraisals and bell curve
Weak management 
Koreans control everything. You work as a servant",NEGATIVE,-1.0,good company if you just want to work like in a government company. stable job no merit based promotions koreans use abusive language poor appraisals and bell curve weak management koreans control everything. you work as a servant,NEGATIVE,-0.25,AMBIGUOUS,"stable job no merit based promotions koreans use abusive language poor appraisals and bell curve weak management koreans control everything . job security is good, canteen and transportation facility is good . yoy salary increment is too low compared to yoy work load increment .",Part Leader,Marketing Department,3 Aug 2023
2.0,2.0,-1,Company is very good with clear intentions to maintain its position in market. People are issue. Checked every department's culture before putting this thoughtful review.,POSITIVE,1.0,"General trend and culture in every department where seniors look for a reason to downgrade your ratings to avoid promotions and appraisals so that they can show cost savings to there bosses and get appraisals for them selves. Go ahead and take a feed back yourself with some one who is genuine to you. Old wolves own the company who are old in the system, who are good for nothing with zero decision making powers and business understanding /Sense and  worst communication skills, leaves every decision on Koreans. Koreans are actually working to keep this company running. But ultimately you work in India with Indian team members. Just a small example- even approving your within city travel reimbursement valuing just 300-400 bucks. If you are a new comer expect zero support from seniors, because they feel threatened if you learn their work and if you are smart to learn on your own, you are a bigger threat and seniors will find silly excuses to negatively market you. Love this company as being a market leader they try to do new initiative but company people are in truly sarkari mode of work. Competition is a part of every job, if you don't like competition then you are good for no job but every department is filled a filthy mentality of holding their position by stepping onto your head and get themselves promoted....Read More",NEGATIVE,-1.0,"company is very good with clear intentions to maintain its position in market. people are issue. checked every department's culture before putting this thoughtful review. general trend and culture in every department where seniors look for a reason to downgrade your ratings to avoid promotions and appraisals so that they can show cost savings to there bosses and get appraisals for them selves. go ahead and take a feed back yourself with some one who is genuine to you. old wolves own the company who are old in the system, who are good for nothing with zero decision making powers and business understanding /sense and worst communication skills, leaves every decision on koreans. koreans are actually working to keep this company running. but ultimately you work in india with indian team members. just a small example- even approving your within city travel reimbursement valuing just 300-400 bucks. if you are a new comer expect zero support from seniors, because they feel threatened if you learn their work and if you are smart to learn on your own, you are a bigger threat and seniors will find silly excuses to negatively market you. love this company as being a market leader they try to do new initiative but company people are in truly sarkari mode of work. competition is a part of every job, if you don't like competition then you are good for no job but every department is filled a filthy mentality of holding their position by stepping onto your head and get themselves promoted....read more",NEGATIVE,-0.25,GENUINE,"old wolves own the company who are old in the system, who are good for nothing with zero decision making powers and business understanding /sense and worst communication skills, leaves every decision on koreans . if you are a new comer expect zero support from seniors, because they feel threatened if you learn their work and if you are smart to learn on your own, you are a bigger threat and seniors will find silly excuses to negatively market you .",Assistant Manager,Other Department,3 Aug 2023
